site_name,location_latitude,location_longitude,heading,ec_timestamp
ship_9,42.643082,-9.873781,9.4,2024-05-03 15:28:00.000 +0530
ship_9,42.639,-9.875122,11.9,2024-05-03 15:27:00.000 +0530
ship_9,42.635052,-9.876862,16.3,2024-05-03 15:26:00.000 +0530
ship_9,42.631039,-9.878847,19.6,2024-05-03 15:25:00.000 +0530
ship_9,42.62714,-9.880981,20.7,2024-05-03 15:24:00.000 +0530
ship_9,42.623142,-9.883099,20.1,2024-05-03 15:23:00.000 +0530
ship_9,42.619213,-9.885149,19,2024-05-03 15:22:00.000 +0530
ship_9,42.615219,-9.887178,19.6,2024-05-03 15:21:00.000 +0530
ship_9,42.611248,-9.889266,19.7,2024-05-03 15:20:00.000 +0530
ship_9,42.60722,-9.891401,20,2024-05-03 15:19:00.000 +0530
ship_9,42.60318,-9.893491,20.2,2024-05-03 15:18:00.000 +0530
ship_9,42.59914,-9.895568,20.2,2024-05-03 15:17:00.000 +0530
ship_9,42.595089,-9.897682,20.2,2024-05-03 15:16:00.000 +0530
ship_9,42.591064,-9.899789,20,2024-05-03 15:15:00.000 +0530
ship_9,42.587021,-9.901903,20.2,2024-05-03 15:14:00.000 +0530
ship_9,42.58297,-9.903931,19.5,2024-05-03 15:13:00.000 +0530
ship_9,42.578979,-9.905956,20,2024-05-03 15:12:00.000 +0530
ship_9,42.574959,-9.90797,19.3,2024-05-03 15:11:00.000 +0530
ship_9,42.570873,-9.910035,20,2024-05-03 15:10:00.000 +0530
ship_9,42.566898,-9.912166,20.5,2024-05-03 15:09:00.000 +0530
ship_9,42.562767,-9.914261,20.7,2024-05-03 15:08:00.000 +0530
ship_9,42.558681,-9.91624,20.2,2024-05-03 15:07:00.000 +0530
ship_9,42.555279,-9.917962,19.7,2024-05-03 15:06:00.000 +0530
ship_9,42.551247,-9.920072,20.1,2024-05-03 15:05:00.000 +0530
ship_9,42.545769,-9.922779,20,2024-05-03 15:04:00.000 +0530
ship_9,42.541691,-9.924756,19.3,2024-05-03 15:03:00.000 +0530
ship_9,42.537613,-9.926747,18.3,2024-05-03 15:02:00.000 +0530
ship_9,42.534859,-9.928042,18.3,2024-05-03 15:01:00.000 +0530
ship_9,42.530792,-9.930122,19.3,2024-05-03 15:00:00.000 +0530
ship_9,42.525291,-9.932955,19.5,2024-05-03 14:59:00.000 +0530
ship_9,42.521152,-9.935069,18.5,2024-05-03 14:58:00.000 +0530
ship_9,42.517048,-9.937128,18.9,2024-05-03 14:57:00.000 +0530
ship_9,42.514301,-9.938549,19.4,2024-05-03 14:56:00.000 +0530
ship_9,42.509487,-9.940998,18.9,2024-05-03 14:55:00.000 +0530
ship_9,42.505344,-9.942984,18.3,2024-05-03 14:54:00.000 +0530
ship_9,42.501247,-9.945063,18.7,2024-05-03 14:53:00.000 +0530
ship_9,42.497169,-9.947166,19.3,2024-05-03 14:52:00.000 +0530
ship_9,42.493061,-9.949311,19.3,2024-05-03 14:51:00.000 +0530
ship_9,42.488979,-9.951348,18.5,2024-05-03 14:50:00.000 +0530
ship_9,42.485008,-9.953413,18.8,2024-05-03 14:49:00.000 +0530
ship_9,42.48101,-9.955551,19.3,2024-05-03 14:48:00.000 +0530
ship_9,42.477062,-9.957598,19.5,2024-05-03 14:47:00.000 +0530
ship_9,42.473129,-9.95959,19,2024-05-03 14:46:00.000 +0530
ship_9,42.46909,-9.961578,18.9,2024-05-03 14:45:00.000 +0530
ship_9,42.465103,-9.963575,19.3,2024-05-03 14:44:00.000 +0530
ship_9,42.461113,-9.96557,18.6,2024-05-03 14:43:00.000 +0530
ship_9,42.456459,-9.967981,18.9,2024-05-03 14:42:00.000 +0530
ship_9,42.452438,-9.969981,19.2,2024-05-03 14:41:00.000 +0530
ship_9,42.448341,-9.971989,19.7,2024-05-03 14:40:00.000 +0530
ship_9,42.445652,-9.973356,19,2024-05-03 14:39:00.000 +0530
ship_9,42.441681,-9.975326,18.7,2024-05-03 14:38:00.000 +0530
ship_9,42.436333,-9.978032,19.3,2024-05-03 14:37:00.000 +0530
ship_9,42.432327,-9.979944,18.8,2024-05-03 14:36:00.000 +0530
ship_9,42.429619,-9.981316,19,2024-05-03 14:35:00.000 +0530
ship_9,42.425529,-9.983366,19.5,2024-05-03 14:34:00.000 +0530
ship_9,42.420174,-9.986148,19.3,2024-05-03 14:33:00.000 +0530
ship_9,42.41608,-9.988059,18.6,2024-05-03 14:32:00.000 +0530
ship_9,42.412079,-9.990004,18.6,2024-05-03 14:31:00.000 +0530
ship_9,42.408039,-9.991941,18.7,2024-05-03 14:30:00.000 +0530
ship_9,42.404671,-9.993639,19.2,2024-05-03 14:29:00.000 +0530
ship_9,42.400623,-9.995634,19.1,2024-05-03 14:28:00.000 +0530
ship_9,42.396561,-9.997523,18.2,2024-05-03 14:27:00.000 +0530
ship_9,42.392426,-9.999343,17.9,2024-05-03 14:26:00.000 +0530
ship_9,42.388313,-10.00119,17,2024-05-03 14:25:00.000 +0530
ship_9,42.384193,-10.00297,17,2024-05-03 14:24:00.000 +0530
ship_9,42.380131,-10.004705,16.3,2024-05-03 14:23:00.000 +0530
ship_9,42.376122,-10.006536,16.3,2024-05-03 14:22:00.000 +0530
ship_9,42.372009,-10.008441,16.9,2024-05-03 14:21:00.000 +0530
ship_9,42.367859,-10.010291,17.3,2024-05-03 14:20:00.000 +0530
ship_9,42.3638,-10.012278,17.9,2024-05-03 14:19:00.000 +0530
ship_9,42.359779,-10.014195,17.5,2024-05-03 14:18:00.000 +0530
ship_9,42.355648,-10.01608,16.5,2024-05-03 14:17:00.000 +0530
ship_9,42.351612,-10.017897,18.1,2024-05-03 14:16:00.000 +0530
ship_9,42.347569,-10.020407,22.9,2024-05-03 14:15:00.000 +0530
ship_9,42.343781,-10.023126,27.6,2024-05-03 14:14:00.000 +0530
